"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2252158604","Grimmia elatior","Herbarium record",1982-04-29,"1982","48.416667","-123.583333"
"2005545059","Grimmia elatior","Herbarium record",1996-02-29,"1996","48.482778","-123.538333"
"2028183742","Grimmia elatior","Herbarium record",1999-05-14,"1999","48.65","-123.716667"
"2028244403","Grimmia elatior","Herbarium record",1980-05-03,"1980","49.25","-124.25"
"2028298508","Grimmia elatior","Herbarium record",1971-03-31,"1971","49.75","-121.533333"
"2028262752","Grimmia elatior","Herbarium record",1997-05-21,"1997","48.766667","-123.166667"
"1949668476","Grimmia elatior","Herbarium record",1996-02-29,"1996","48.481389","-123.538611"
"1987816347","Grimmia elatior","Herbarium record",1982-04-29,"1982","48.4","-123.6"
"1987868218","Grimmia elatior","Herbarium record",1999-11-01,"1999","49.3","-122.8"
"1987840534","Grimmia elatior","Herbarium record",1999-05-14,"1999","48.7","-123.7"
"1987800114","Grimmia elatior","Herbarium record",1976-05-19,"1976","49.7","-116.8"
"1987734689","Grimmia elatior","Herbarium record",1999-05-14,"1999","48.7","-123.7"
"1987885905","Grimmia elatior","Herbarium record",1996-02-29,"1996","48.48","-123.54"
"1987885097","Grimmia elatior","Herbarium record",2009-05-11,"2009","49.7","-123.2"
"4947807259","Grimmia elatior","Herbarium record",1986-01-30,"1986","49.333333","-121.666667"
"2028287890","Grimmia elatior","Herbarium record",1996-02-29,"1996","48.483333","-123.533333"
"2028164112","Grimmia elatior","Herbarium record",1986-07-26,"1986","50.2","-124.833333"
"2028217520","Grimmia elatior","Herbarium record",1985-08-18,"1985","53.083333","-132.0"
"2028239070","Grimmia elatior","Herbarium record",1986-03-18,"1986","49.866667","-121.433333"
"2028313312","Grimmia elatior","Herbarium record",1999-05-14,"1999","48.65","-123.716667"
"2028169766","Grimmia elatior","Herbarium record",1986-02-06,"1986","49.333333","-121.383333"
"2028201223","Grimmia elatior","Herbarium record",1976-05-19,"1976","49.666667","-116.833333"
"2028292838","Grimmia elatior","Herbarium record",1984-04-29,"1984","49.583333","-121.416667"
"2028255645","Grimmia elatior","Herbarium record",1986-01-30,"1986","49.333333","-121.666667"
"2028224371","Grimmia elatior","Herbarium record",1980-05-03,"1980","49.25","-124.25"
"2028291921","Grimmia elatior","Herbarium record",1982-04-29,"1982","48.416667","-123.583333"
"1930379099","Grimmia elatior","Herbarium record",2009-05-11,"2009","49.6456","-123.2044"
"1987859400","Grimmia elatior","Herbarium record",1986-03-18,"1986","49.9","-121.4"
"1987853508","Grimmia elatior","Herbarium record",1986-07-26,"1986","50.2","-124.8"
"1987752805","Grimmia elatior","Herbarium record",1986-04-13,"1986","49.5","-120.3"
"1987758334","Grimmia elatior","Herbarium record",1996-02-29,"1996","48.5","-123.5"
"1987840714","Grimmia elatior","Herbarium record",1986-01-30,"1986","49.3","-121.7"
"1987872531","Grimmia elatior","Herbarium record",1984-04-29,"1984","49.6","-121.4"
"1987755494","Grimmia elatior","Herbarium record",1986-02-06,"1986","49.3","-121.4"
"1987866017","Grimmia elatior","Herbarium record",1982-08-15,"1982","50.3","-122.5"
"1987762284","Grimmia elatior","Herbarium record",1985-08-18,"1985","53.1","-132.0"
"1987729796","Grimmia elatior","Herbarium record",1996-02-29,"1996","48.5","-123.5"
"1987921903","Grimmia elatior","Herbarium record",1996-02-29,"1996","48.48","-123.54"
"1987720321","Grimmia elatior","Herbarium record",1971-03-31,"1971","49.8","-121.5"
